country,location,year,population_size,source
Russia,Khakassia,2010,532403,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Khanty_Mansi_Autonomous_Okrug,2010,1532243,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kirov_Oblast,2010,1341312,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Komi_Republic,2010,901189,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kostroma_Oblast,2010,667562,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Krasnodar_Krai,2010,5226647,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Krasnoyarsk_Krai,2010,2828187,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kurgan_Oblast,2010,910807,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Kursk_Oblast,2010,1127081,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Leningrad_Oblast,2010,1716868,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Lipetsk_Oblast,2010,1173513,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Magadan_Oblast,2010,156996,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Mari_El,2010,696459,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Mordovia,2010,834755,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Moscow_Oblast,2010,7095120,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Moscow,2010,11503501,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Murmansk_Oblast,2010,795409,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Nenets_Autonomous_Okrug,2010,42090,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Nizhny_Novgorod_Oblast,2010,3310597,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,North_Ossetia_Alania,2010,712980,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Novgorod_Oblast,2010,634111,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Novosibirsk_Oblast,2010,2665911,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Omsk_Oblast,2010,1977665,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Orenburg_Oblast,2010,2033072,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Oryol_Oblast,2010,786935,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Penza_Oblast,2010,1386186,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Perm_Krai,2010,2635276,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Primorsky_Krai,2010,1956497,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Pskov_Oblast,2010,673423,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Rostov_Oblast,2010,4277976,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Russian_Federation,2010,143479000,United Nations - Department of Economic and Social Affairs - Population Division (2019). World Population Prospects 2019 - custom data acquired via website.
Russia,Ryazan_Oblast,2010,524927,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Sakha,2010,958528,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Sakhalin_Oblast,2010,497973,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Samara_Oblast,2010,3215532,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Saratov_Oblast,2010,2521892,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Smolensk_Oblast,2010,985537,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,St._Petersburg,2010,4879566,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Stavropol_Krai,2010,2786281,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
